Acton,ON,Canada,450,,40,490,One container
Agincourt,ON,Canada,370,2,30,402,One container
Ajax,ON,Canada,440,,40,480,One container
Alliston,ON,Canada,450,,40,490,One container
Ancaster,ON,Canada,480,,40,520,One container
Angus,ON,Canada,545,,45,590,One container
Aurora,ON,Canada,425,3,30,458,One container
Aylmer,ON,Canada,750,,70,820,One container
Ayr,ON,Canada,535,,50,585,One container
Bancroft,ON,Canada,970,,90,1060,One container
Barrie,ON,Canada,510,,45,555,One container
Beamsville,ON,Canada,535,,45,580,One container
Beaverton,ON,Canada,640,,55,695,One container
Beeton,ON,Canada,370,,35,405,One container
Belleville,ON,Canada,800,,65,865,One container
Blind River,ON,Canada,1680,,155,1835,One container
Binbrook,ON,Canada,525,,50,575,One container
Blenheim,ON,Canada,1015,,95,1110,One container
Bobcaygeon,ON,Canada,750,,70,820,One container
Bolton,ON,Canada,415,,35,450,One container
Bowmanville,ON,Canada,545,,50,595,One container
Bracebridge,ON,Canada,725,,70,795,One container
Bradford,ON,Canada,430,,40,470,One container
Brampton,ON,Canada,330,1,30,361,One container
Brantford,ON,Canada,530,,50,580,One container
Breslau,ON,Canada,550,,50,600,One container
Burks Falls,ON,Canada,935,,90,1025,One container
Burlington,ON,Canada,425,3,30,458,One container
Caledonia,ON,Canada,555,,50,605,One container
Cambridge,ON,Canada,510,,50,560,One container
Campbellford,ON,Canada,780,,70,850,One container
Campbellville,ON,Canada,415,,40,455,One container
Chapleau,ON,Canada,2375,,230,2605,One container
Chatham,ON,Canada,1000,,95,1095,One container
Chepstow,ON,Canada,665,,65,730,One container
Clarksburg,ON,Canada,595,,55,650,One container
Cobourg,ON,Canada,620,,60,680,One container
Cochrane,ON,Canada,2145,,200,2345,One container
Colborne,ON,Canada,680,,55,735,One container
Collingwood,ON,Canada,555,,55,610,One container
Concord,ON,Canada,330,1,30,361,One container
Cookstown,ON,Canada,480,,45,525,One container
Copper Cliff,ON,Canada,1295,,125,1420,One container
Don Mills,ON,Canada,370,2,30,402,One container
Dorchester,ON,Canada,685,,65,750,One container
Downsview,ON,Canada,330,1,30,361,One container
Dresden,ON,Canada,1025,,95,1120,One container
Dryden,ON,Canada,4820,,250,5070,One container
Dundas,ON,Canada,490,,40,530,One container
Dunnville,ON,Canada,590,,55,645,One container
Earlton,ON,Canada,1640,,160,1800,One container
Elgin Mills,ON,Canada,420,,40,460,One container
Elliot Lake,ON,Canada,1675,,160,1835,One container
Elmira,ON,Canada,545,,50,595,One container
Erin,ON,Canada,425,,40,465,One container
Espanola,ON,Canada,1470,,140,1610,One container
Etobicoke,ON,Canada,330,1,30,361,One container
Exeter,ON,Canada,765,,75,840,One container
